"nome","Nome Story","Ordine","Titolo Story","Descrizione del task","stima sforzo","Priorità","tipo di task","stima in minuti"
"S6.3","S6","3","Dispute/chargeback","Schermata dispute con elenco, upload e timeline","4","Low Priority","Admin UI","150"
"S6.4","S6","4","Dispute/chargeback","Avvisi a admin/provider sui cambi di stato della dispute","3","Low Priority","Notifiche","60"
"S6.5","S6","5","Dispute/chargeback","Simula dispute in test mode e verifica aggiornamenti","5","Medium priority","QA","120"
"S7.1","S7","1","Stato pagamenti nelle prenotazioni","Espandi risposte Booking con mapping degli stati Stripe → UI","3","High Priority","Backend","60"
"S7.2","S7","2","Stato pagamenti nelle prenotazioni","Mostra badge in dashboard per pre-autorizzato, richiede azione, pagato, rimborsato, annullato; payout provider","3","High Priority","Frontend","90"
"S7.3","S7","3","Stato pagamenti nelle prenotazioni","Verifica coerenza stati nelle transizioni (create→capture→refund)","3","Medium priority","QA","45"
"S8.1","S8","1","Scadenza autorizzazioni e auto-capture","Parametrizza policy in .env (giorni/strategie/soglie)","3","Medium priority","Backend","45"
"S8.2","S8","2","Scadenza autorizzazioni e auto-capture","Job che individua PI ‘capturable’ e decide auto-capture/annullo in base alle policy","6","Medium priority","Worker/Cron","180"
"S8.3","S8","3","Scadenza autorizzazioni e auto-capture","Invio reminder a provider/admin prima della scadenza","3","Medium priority","Notifiche","60"
"S8.4","S8","4","Scadenza autorizzazioni e auto-capture","Simula tempi ridotti e verifica i percorsi di auto-capture/annullo","5","Medium priority","QA","120"
"S9.1","S9","1","Conformità e sicurezza","Gestisci segreti .env, separa test/prod, abilita rotazione chiavi; evita commit di segreti","4","Critical","DevOps/Security","90"
"S9.2","S9","2","Conformità e sicurezza","Applica CORS e rate limit dedicati alle rotte pagamenti","3","High Priority","Backend","60"
"S9.3","S9","3","Conformità e sicurezza","Usa Idempotency-Key su create/capture/refund","4","High Priority","Backend","90"
"S9.4","S9","4","Conformità e sicurezza","Verifica firma (STRIPE_WEBHOOK_SECRET) e rifiuta richieste non firmate; log degli scarti","5","Critical","Webhook","90"
"S9.5","S9","5","Conformità e sicurezza","Logging senza PII e masking di token/ID","3","Medium priority","Backend","60"
"S9.6","S9","6","Conformità e sicurezza","Static checks e mini-pentest sulle rotte pagamenti","4","Medium priority","QA","120"
"S10.1","S10","1","Fatture e tasse","Definisci MoR (provider consigliato) e aggiorna ToS/policy","5","High Priority","Operativo/Legale","180"
"S10.2","S10","2","Fatture e tasse","Genera ricevute/record fee e mostra link a fatture provider","5","Medium priority","Backend/Frontend","150"
"S10.3","S10","3","Fatture e tasse","Integra Invoicing/Tax (prodotti, tax behavior, imposte)","7","Low Priority","Backend","300"
"S10.4","S10","4","Fatture e tasse","Verifiche contabili e report base di quadratura","4","Low Priority","QA","120"
